report_date,week,call,confidence,summary,QQQ_oc_ret,QQQ_ff_ret,SPY_oc_ret,SPY_ff_ret
2024-10-20,2024-10-21,bullish,medium,Continued bullish outlook with similar action to last week expected; VoEx watched closely for divergence reminiscent of 2024-07.,0.269,0.057,-0.962,-1.018
2024-10-27,2024-10-28,bearish,high,"Conditions turned bearish; near-term downside expected toward $5,600 ES while VoEx stays within stability, then bullish resolution afterwards.",-2.071,-1.313,-1.847,-1.273
2024-11-03,2024-11-04,bearish,high,"Maintained near-term downside expectations; VoEx-daily in Propagation Zone, bear-trap forming, dip to ~$5.6k ES expected then normal programming.",5.351,5.246,4.562,4.652
2024-11-10,2024-11-11,bullish,medium,"Bearish evidence erased after outsized up week; bullish data prints abound, though embraced with newborn-fawn hesitance.",-3.658,-3.36,-2.265,-1.988
2024-11-17,2024-11-18,bearish,high,"Point system favors 'extension' over mean-reversion: prolonged downside expected, roughly 3% down through LDPM organic bids toward LDPM-610.",1.337,1.959,1.547,1.674
2024-11-24,2024-11-25,bullish,high,Downside threat faded; VoEx-daily rebounded into Stability with omnidirectional purchasing support — a return to bullish outlooks.,0.394,0.731,0.833,1.222
2024-12-01,2024-12-02,bullish,medium,"Continued bullish performance expected, with a wary side-eye at QQQ's proximity to selling pressure and isolated VoEx instability.",3.269,3.085,1.002,0.743
2024-12-08,2024-12-09,bullish,medium,"Bullish outlook maintained; mean-reversion risk flagged, but dips limited to ~$5,900 ES seen as average-down opportunities — dip-then-rip.",0.408,0.709,-0.781,-0.637
2024-12-15,2024-12-16,bearish,high,"VoEx-daily's dive out of Stability signals near-term downside of -2% to -4%, toward $5,970 then possibly $5,796 on ES.",-2.336,-2.103,-2.393,-2.244
2024-12-22,2024-12-23,bearish,high,"Strong bearish leanings; ~3% decline to LDPM-610 expected, with a potential 20% correction scenario if conditions worsen.",0.382,0.854,0.38,0.822
2024-12-29,2024-12-30,bearish,medium,"Continued bearish lean; VoEx in P.Z. across major ETFs plus liquidity drain; ~4% drop to LDPM-610 targeted, possibly ~$5,600.",-0.625,-0.926,-0.327,-0.6
2025-01-05,2025-01-06,bearish,medium,"Default bearish (BUPO) with VoEx entering the Propagation Zone, but a bull-trap rally likely forms first before downside resumes.",-2.803,-2.21,-2.307,-1.936
2025-01-12,2025-01-13,bearish,high,"Officially bearish and in full swing; weekly LDPS turned bearish, testing $5,750 floor with targets $5,500-$5,300 then $5,000.",3.846,2.921,3.63,3.007
2025-01-20,2025-01-20,bullish,medium,"Near-term bull-trap rally to ~$6,100 ES seen as highly likely, followed by resumption of bearish action under BUPO-bearish regime.",1.248,1.567,1.428,1.732
2025-01-26,2025-01-27,bearish,high,"Active bull-trap is springing; VoEx in Propagation Zone, QQQ in gamma-squeeze selling orientation, put-selling at zero; brace for downside.",1.651,-1.446,0.823,-0.987
2025-02-02,2025-02-03,neutral,low,"No market thesis; the file is the Liquidity Trading Algorithm (LTA) Handbook V1.0, pure product documentation.",1.82,0.134,1.223,-0.155
2025-02-09,2025-02-10,bearish,high,"VoEx in Propagation Zone, put-selling at zero, ABC cascade on ES without price appreciation; continued downside expected, target ~$5,400 on ES weekly.",2.418,2.992,1.201,1.513
2025-02-16,2025-02-17,bearish,low,"Bull-trap still underway; overall lean stays bearish but data are mixed/confusing, with bullish near-term pull from VoEx-daily and put-selling revival.",-2.776,-2.359,-1.916,-1.649
2025-02-23,2025-02-24,bearish,high,"Data confluently bearish: VoEx-daily spiking toward Propagation Zone, both indexes in local selling pressure, LDPM shows ~8-10% downside to next organic bids.",-3.872,-3.36,-1.532,-1.082
2025-03-02,2025-03-03,bearish,medium,"Protracted downside starting imminently (organic bid ~10% down on ES/NQ), with a slight chance of a short bull-trap bounce capped ~3% up.",-3.441,-3.266,-3.123,-3.021
2025-03-09,2025-03-10,bearish,high,"All data bearish: VoEx deepening in Propagation Zone, no LDPM scoop, GS growth accelerating; downside likely, imminent and potentially significant, ~6% to organic bid.",-2.065,-2.595,-1.933,-2.403
2025-03-16,2025-03-17,bearish,high,Market inundated with bearish data; continued downside expected with minimal risk of a bull-trap despite Friday's bounce.,0.99,0.602,0.855,0.552
2025-03-23,2025-03-24,bearish,medium,"Elevated risk of a minor bull-trap wave up (VoEx spikes, supportive local hedging) that is expected to fail and resolve significantly to the downside.",-3.7,-2.955,-2.672,-1.891
2025-03-30,2025-03-31,bearish,high,"VoEx-spike completing, gamma-squeeze counts/velocity growing, put-selling ceased; downside of ~1% then ~4% more before any organic bid.",-8.889,-9.487,-8.549,-8.86
2025-04-06,2025-04-07,bearish,high,"After -9% week, all frameworks still bearish: aggressive ask cascade on ES, no eager bids, GS counts surging; downside imminent and substantial toward $4,720 then -20%.",12.703,7.368,8.76,5.764
2025-04-13,2025-04-14,bullish,medium,"For the week: an IV-decline-fueled bull-trap rally of +2% to +4% toward organic ask ceilings, after which downside is expected to resume.",-3.7,-1.881,-2.681,-1.322
2025-04-20,2025-04-21,bearish,medium,"Bull-trap in its final stages: possibly a small IV-driven bump early, then resumption of downside ('itty-bitty bump then dump').",7.745,6.159,5.73,4.476
2025-04-27,2025-04-28,bullish,medium,"Bull-trap rally expected to continue for the week with ceilings ~9% up on ES and ~6% on QQQ, though long-term data remain objectively bearish.",3.78,3.37,3.307,2.957
2025-05-04,2025-05-05,bearish,low,"Current bounce is a robust bull-trap; volatility ahead ultimately resolving to downside, though VoEx data are conflicting.",0.449,-0.198,0.291,-0.356
2025-05-11,2025-05-12,bearish,medium,Market still in a bull-trap; expects erosion of bullish performance and resumption of downside despite VoEx entering Stability.,2.563,6.021,2.086,4.558
2025-05-18,2025-05-19,bearish,medium,Near-term downside expected (brace for it) while medium-to-long-term outlook has officially flipped bullish per VoEx in stability.,-1.115,-1.726,-1.455,-1.983
2025-05-25,2025-05-26,bearish,high,"Downside to continue near-term, with mounting evidence this is resumed downside rather than a buy-the-dip opportunity.",0.234,2.114,0.209,1.798
2025-06-01,2025-06-02,bullish,low,"Technically bullish (VoEx in stability, vast purchasing support) but bracing for turbulence; bullish picture 'hung on the wall by a small tac'.",2.841,2.09,2.194,1.632
2025-06-08,2025-06-09,bullish,medium,"Market relatively bullish with VoEx staunchly in stability, but considerable headwinds noted (negative GTM, overhead selling pressure, ES resistances).",-0.606,-0.592,-0.419,-0.322
2025-06-22,2025-06-23,bearish,high,"VoEx-daily exited stability, gamma squeezes ramping; downside proximal with next support roughly 4% down on ES.",3.862,3.942,3.154,3.238
2025-07-06,2025-07-07,bearish,medium,Near-term turbulence with a ~1-2% dip expected from bearish short-timeframe liquidity and selling pressure; medium-term remains tentatively bullish.,0.033,-0.371,0.056,-0.293
2025-07-13,2025-07-14,bearish,low,"Turbulence expected; data technically still poised upward but coalescing toward bearish prints, so author leans toward bracing for downside.",1.6,1.372,0.991,0.714
2025-07-27,2025-07-28,bullish,medium,"Bullish skies for roughly another month while VoEx descends toward the Propagation Zone; ES LDPM/S prints bullish, bear-trap resolved.",-2.69,-2.235,-2.672,-2.363
2025-08-03,2025-08-04,bearish,high,"Reversion to downside is nigh: VoEx exiting stability, gamma squeezes up 36% WoW, bear-trap returned on weekly ES; potential 4% down target.",3.355,3.896,2.184,2.569
2025-09-28,2025-09-29,bearish,high,VoEx-daily back in Propagation Zone across SPY/QQQ/VOO/VTI; maintain bearish outlook with another leg down of about 3.5% expected.,0.649,1.162,0.734,1.202
2025-10-19,2025-10-20,neutral,medium,"Stalled, frustratingly flat week expected as market sits in gamma neutrality; downside still the expected eventual resolution of the stall.",1.657,2.065,1.518,1.804
2025-10-26,2025-10-27,bullish,medium,VoEx-daily spike started: roughly one month of turbulent upside expected before downside resumes around end of November (VX spike ~11/22).,0.825,1.913,-0.081,0.722
2025-11-02,2025-11-03,bearish,medium,"Turbulent, downtrodden week expected: near-term downside to test supports ~1.4-1.5% down, with a likely bounce off those supports.",-3.218,-2.848,-1.706,-1.485
2025-11-16,2025-11-17,bearish,high,"Downside expected with growing magnitude and duration; VoEx in Propagation Zone, gamma squeezes mounting, bearish ES liquidity; ~7% downside to LT-6.",-3.904,-3.085,-2.421,-1.915
2025-11-23,2025-11-24,bullish,low,"Small bounce underway off 987-minute LT7 support, but overall data still expect downside to resume after the bounce.",3.878,4.758,3.028,3.61
2025-11-30,2025-12-01,bullish,medium,"Bounce expected to continue roughly 2% more toward LT-6 ceiling, with eventual return to downside once VoEx-daily re-enters Propagation Zone.",1.796,1.071,0.908,0.336
2025-12-07,2025-12-08,bearish,low,"Chop expected for the week while remaining bullish liquidity drains, with ultimate resolution still toward the downside.",-2.136,-1.969,-0.663,-0.57
2025-12-14,2025-12-15,bearish,low,"Erratic, turbulent week expected with high risk of large moves; overall resolution still toward the downside.",0.353,0.673,-0.452,-0.139
2025-12-22,2025-12-22,bullish,medium,Santa rally expected: low-volume short week lets gamma-hedging purchasing support drift the market up roughly 1.5% toward LT resistances.,0.74,0.98,1.108,1.316
2025-12-28,2025-12-29,bullish,low,Short holiday week expected to be flat-to-slightly-up on persistent diffuse purchasing support; VoEx leaning bullish but not committing.,-1.434,-1.66,-0.781,-0.996
2026-01-11,2026-01-12,neutral,low,Data technically bullish (flat-to-up drift) but worrying patterns: either drift-and-flat continues or downside starts; author explicitly two-sided.,0.06,-0.9,0.396,-0.327
2026-01-18,2026-01-19,bearish,high,Downside expected and near: SPY VoEx re-entered Propagation Zone with VoEx-daily divergence; rising volume erodes hedging support; near-term bearish liquidity.,1.904,0.068,1.074,-0.533
2026-01-25,2026-01-26,bearish,low,"Turbulent, flat week expected as market positions for more downside: stagnant price against LT resistances, then retest of 987-minute LT7 and lower.",-0.292,-0.09,0.286,0.48
2026-02-01,2026-02-02,bearish,high,"Turbulence and continued downside expected: VoEx in Propagation Zone, gamma-squeeze growth accelerating, widespread bearish liquidity with multiple LT ceilings overhead.",-1.069,-1.962,,
2026-02-08,2026-02-09,bearish,medium,"Continued downside resolution expected, though fuzzier than last week: bearish VoEx and predictive gamma data versus near-term bulltrap potential.",-1.469,-1.25,,
2026-02-16,2026-02-16,bearish,high,"Wholly bearish: VoEx deepening in Propagation Zone, local gamma-squeeze hedging conditions, bearish liquidity on all timeframes except weekly, minimal supports below.",1.824,1.303,,
2026-02-22,2026-02-23,bullish,medium,"Quick bounce of roughly 1% expected toward $7,005 LT resistance, supported by diffuse purchasing support and bulltraps; longer-horizon outlook remains bearish.",0.178,-0.411,,
2026-03-01,2026-03-02,bearish,medium,Downside expectations renewed: continued turbulence with downside resolution; bearish liquidity and profit-takers on all intervals except weekly; supports 2% and 5% down.,0.474,-1.092,,
2026-03-08,2026-03-09,bearish,high,All data unanimously bearish; downside expected to continue with a conservative 3% downside target toward LT6 support.,0.379,-1.154,,
2026-03-15,2026-03-16,bearish,high,"Downside expectations renewed and growing: VoEx deepening in Propagation Zone, gamma-squeeze growth, bearish liquidity on all timeframes.",-1.727,-1.117,,
2026-03-29,2026-03-30,bearish,high,"Very bearish data; downside likely to continue, with only a short-lived early-week bounce possible off LT7 weekly support.",3.552,4.131,,
2026-04-05,2026-04-06,bearish,medium,Bounce underway but with limited fuel; flat-to-down expected as VoEx-daily spike terminates and profit-takers emerge on all intervals.,4.207,4.629,,
2026-04-12,2026-04-13,bearish,medium,"Near-term mean-reversion downside (~3.5% to LT6) expected, but the broader downturn's bottom looks in; longer-term pivot to bullish paradigm.",6.985,6.085,,
2026-04-19,2026-04-20,bearish,medium,"After SPY +4.5%/QQQ +6.17%, mean-reversion dip very probable this week (stop at LT-6, -2.75% to -5%), within a longer-term recovery.",2.879,2.231,,
2026-04-26,2026-04-27,bearish,low,"Mixed 'recovery or bulltrap' data; near-term turbulence and downside expected once more, but downside threat diminishes further out, followed by recovery.",1.52,1.554,,
2026-05-03,2026-05-04,bullish,high,"Market poised to continue northward; VoEx (QQQ), calmed gamma-squeeze data and bullish LS&T liquidity all aligned pointing up.",5.219,5.559,,
2026-05-17,2026-05-18,bearish,medium,VoEx-divergence signals draining liquidity and an impending correction; choppy downside expected toward multi-interval supports about 2% down.,1.549,1.347,,
2026-05-25,2026-05-25,bullish,high,"Data wholly bullish: aggressive bids on 90/144-minute, no profit-takers, cooling gamma foundations; short week primed for another leg up.",2.047,2.861,,
2026-06-07,2026-06-08,bearish,high,"Downside looks imminent: VoEx-daily flirting with bearish zone, bearish liquidity devoid of support, target around $7,200 on ES.",1.554,2.702,,
2026-06-14,2026-06-15,bearish,medium,"Shaky downside with intermittent spot bursts: up first toward LT ceilings, then downside returns via Jorge's sign bulltrap resolution.",,,,
2026-06-22,2026-06-22,bearish,medium,"More turbulence and downside expected within a range: ceiling ~7,700, floor ~7,300; SPY may see another early-week bump.",,,,
2026-06-28,2026-06-29,bearish,medium,"Downside is the predominant direction for next week and beyond, though nearby supports make a slight bounce a reasonable first move.",,,,
2026-07-05,2026-07-06,bullish,high,"The anticipated bounce is underway and likely continues: VoEx-daily shot upward, purchasing support all around, dip-buyers on 987-minute.",,,,
